"source","references","auth_year","auth_yr_id","dup_mark","sampling_year","Title","country","Region","latitude","longitude","Climate","temperature","precipitation","SOC","pH","bulk_density","total_N","Soil_tex","Clay","Silt","Sand","Growing_season","Rotation_type","Cultivar_name","Planting_method","Planting_date","Transplant_date","Harvest_date","growing_period","Crop_period","Measurement_period","experimental_start_date","experimental_end_date","preseason_water","water_regime","Water_depth_cm","N_amount","p2o5_amount","k2o_amount","organic_fert_type","organic_fert_amount","Organic_method","CH4_flux","CH4_seasonal","N2O","Yield","UFR","crop_id","exp_date"
"nikolaisen","Adhya_2000b","Adhya_2000",5,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","CR749202","Transplant","28/06/1996","19/07/1996","30/10/1996",103,"103",NA,NA,NA,"Long drainage","Rainfed wet season","3_15",60,NA,NA,"NONE",0,"NONE",NA,423,NA,3020,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",6,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","CR749202","Transplant","28/06/1996","19/07/1996","30/10/1996",103,"103",NA,NA,NA,"Long drainage","Rainfed wet season","3_15",40,NA,NA,"GM",2,"Incorporated",NA,1319.7,NA,3500,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",7,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","CR749202","Transplant","28/06/1996","19/07/1996","30/10/1996",103,"103",NA,NA,NA,"Long drainage","Rainfed wet season","3_15",40,NA,NA,"Compost",2,"Incorporated",NA,654.4,NA,2980,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",8,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Wet","Rice_Rice","CR749202","Transplant","28/06/1996","19/07/1996","30/10/1996",103,"103",NA,NA,NA,"Long drainage","Rainfed wet season","3_15",40,NA,NA,"GM",2,"Incorporated",NA,677.1,NA,3650,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",9,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","04/02/1997","25/02/1997","31/05/1997",95,"95",105,NA,NA,"Short drainage","Continuous flooding","5_10",60,NA,NA,"NONE",0,"NONE",NA,186.1,NA,3210,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",10,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","04/02/1997","25/02/1997","31/05/1997",95,"95",105,NA,NA,"Short drainage","Continuous flooding","5_10",60,NA,NA,"Straw_On_Season",2,"Incorporated",NA,361.8,NA,3520,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",11,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","04/02/1997","25/02/1997","31/05/1997",95,"95",105,NA,NA,"Short drainage","Alternate wetting and drying",NA,60,NA,NA,"NONE",0,"NONE",NA,157.3,NA,3470,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",12,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","04/02/1997","25/02/1997","31/05/1997",95,"95",105,NA,NA,"Short drainage","Alternate wetting and drying",NA,60,NA,NA,"Straw_On_Season",2,"Incorporated",NA,271.4,NA,3110,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",13,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","22/01/1998","12/02/1998","18/05/1998",95,"95",NA,NA,NA,"Long drainage","Continuous flooding","5_10",0,NA,NA,"NONE",0,"NONE",NA,361.5,NA,2490,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",14,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","22/01/1998","12/02/1998","18/05/1998",95,"95",NA,NA,NA,"Long drainage","Continuous flooding","5_10",120,NA,NA,"NONE",0,"NONE",NA,701,NA,3430,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",15,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","22/01/1998","12/02/1998","18/05/1998",95,"95",NA,NA,NA,"Long drainage","Continuous flooding","5_10",120,NA,NA,"NONE",0,"NONE",NA,768.4,NA,4250,NA,NA,NA
"nikolaisen","Adhya_2000b","Adhya_2000",16,3,NA,NA,"India","South Asia",20.42,85.92,"Tropical savannah",26.8116759788889,362.624835762963,0.86,6.16,1.39583333333333,0.09,"UN",23.1696682464455,29.8566878980892,46.4503184713376,"Dry","Rice_Rice","CR749202","Transplant","22/01/1998","12/02/1998","18/05/1998",95,"95",NA,NA,NA,"Long drainage","Continuous flooding","5_10",120,NA,NA,"NONE",0,"NONE",NA,606.9,NA,4480,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",1,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.59,6.6,1.48596153846154,0.288118811881188,"Fine",50,44,6,"Single","Rice_Fallow","M104","Direct wet seeded","18/05/2012",NA,"15/10/2012",150,"150",NA,NA,NA,"Long drainage","Continuous flooding","6_12",0,NA,NA,"NONE",0,"NONE",NA,83.87,NA,4060,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",2,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.59,6.6,1.48596153846154,0.08,"Fine",50,44,6,"Single","Rice_Fallow","M104","Direct wet seeded","18/05/2012",NA,"15/10/2012",150,"150",NA,NA,NA,"Long drainage","Continuous flooding","6_12",150,NA,NA,"NONE",0,"NONE",NA,162.67,NA,11150,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",3,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.59,6.6,1.48596153846154,0.08,"Fine",50,44,6,"Single","Rice_Fallow","M104","Direct wet seeded","18/05/2012",NA,"15/10/2012",150,"150",NA,NA,NA,"Long drainage","Continuous flooding","6_12",150,NA,NA,"NONE",0,"NONE",NA,181.33,NA,12190,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",4,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Fine",28,42,30,"Single","Rice_Fallow","M104","Direct wet seeded","09/05/2013",NA,"01/10/2013",145,"145",NA,NA,NA,"Winter flooded","Continuous flooding","6_12",0,NA,NA,"Straw_Off_Season",5.42,"Incorporated",NA,3586.67,NA,10840,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",5,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,42,30,"Single","Rice_Fallow","M104","Direct wet seeded","09/05/2013",NA,"01/10/2013",145,"145",NA,NA,NA,"Winter flooded","Continuous flooding","6_12",143,NA,NA,"Straw_Off_Season",6.09,"Incorporated",NA,3960,NA,12180,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",6,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,42,30,"Single","Rice_Fallow","M104","Direct wet seeded","09/05/2013",NA,"01/10/2013",145,"145",NA,NA,NA,"Winter flooded","Continuous flooding","6_12",143,NA,NA,"Straw_Off_Season",6.24,"Incorporated",NA,3080,NA,12480,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",7,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.26,4.8,1.48596153846154,0.08,"Fine",47,30,23,"Single","Rice_Fallow","M104","Direct wet seeded","28/05/2014",NA,"08/10/2014",133,"133",NA,NA,NA,"Winter flooded","Continuous flooding","6_12",0,NA,NA,"Straw_Off_Season",1.825,"Incorporated",NA,832,NA,3650,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",8,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.26,4.8,1.48596153846154,0.08,"Fine",47,30,23,"Single","Rice_Fallow","M104","Direct wet seeded","28/05/2014",NA,"08/10/2014",133,"133",NA,NA,NA,"Winter flooded","Continuous flooding","6_12",150,NA,NA,"Straw_Off_Season",5.11,"Incorporated",NA,1773.33,NA,10220,NA,NA,NA
"nikolaisen","AdvientoBorbe&Linquist_2016","AdvientoBorbe&Linquist_2016",9,1,NA,NA,"USA","North America",38.54,-121.81,"Temperate dry summer",23.4515261107692,239.026258215385,1.26,4.8,1.48596153846154,0.08,"Fine",47,30,23,"Single","Rice_Fallow","M104","Direct wet seeded","28/05/2014",NA,"08/10/2014",133,"133",NA,NA,NA,"Winter flooded","Continuous flooding","6_12",150,NA,NA,"Straw_Off_Season",6.02,"Incorporated",NA,1533.33,NA,12040,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",1,1,NA,NA,"USA","North America",38.9,-121.73,"Temperate dry summer",23.4515261107692,239.026258215385,1.34,6.1,1.48596153846154,0.14,"Fine",59,31,10,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","06/05/2010",NA,"18/10/2010",165,"165",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",0,NA,NA,"Straw_Off_Season",2.23,"Incorporated",NA,173.33,NA,4460,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",2,1,NA,NA,"USA","North America",38.9,-121.73,"Temperate dry summer",23.4515261107692,239.026258215385,1.34,6.1,1.48596153846154,0.14,"Fine",59,31,10,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","06/05/2010",NA,"18/10/2010",165,"165",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",50,NA,NA,"Straw_Off_Season",3.47,"Incorporated",NA,160,NA,6940,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",3,1,NA,NA,"USA","North America",38.9,-121.73,"Temperate dry summer",23.4515261107692,239.026258215385,1.34,6.1,1.48596153846154,0.14,"Fine",59,31,10,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","06/05/2010",NA,"18/10/2010",165,"165",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",100,NA,NA,"Straw_Off_Season",3.965,"Incorporated",NA,122.67,NA,7930,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",4,1,NA,NA,"USA","North America",38.9,-121.73,"Temperate dry summer",23.4515261107692,239.026258215385,1.34,6.1,1.48596153846154,0.14,"Fine",59,31,10,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","06/05/2010",NA,"18/10/2010",165,"165",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",150,NA,NA,"Straw_Off_Season",3.96,"Incorporated",NA,226.67,NA,7920,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",5,1,NA,NA,"USA","North America",38.9,-121.73,"Temperate dry summer",23.4515261107692,239.026258215385,1.34,6.1,1.48596153846154,0.14,"Fine",59,31,10,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","06/05/2010",NA,"18/10/2010",165,"165",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",200,NA,NA,"Straw_Off_Season",4.185,"Incorporated",NA,253.33,NA,8370,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",6,1,NA,NA,"USA","North America",39.01,-121.7,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,43,30,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","03/05/2011",NA,"30/09/2011",150,"150",NA,NA,NA,"Winter flooded","Continuous flooding","8.5_14",0,NA,NA,"Straw_Off_Season",3.005,"Surface_applied",NA,1786.67,NA,6010,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",7,1,NA,NA,"USA","North America",39.01,-121.7,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,43,30,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","03/05/2011",NA,"30/09/2011",150,"150",NA,NA,NA,"Winter flooded","Continuous flooding","8.5_14",50,NA,NA,"Straw_Off_Season",3.965,"Surface_applied",NA,1973.33,NA,7930,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",8,1,NA,NA,"USA","North America",39.01,-121.7,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,43,30,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","03/05/2011",NA,"30/09/2011",150,"150",NA,NA,NA,"Winter flooded","Continuous flooding","8.5_14",100,NA,NA,"Straw_Off_Season",4.895,"Surface_applied",NA,2066.67,NA,9790,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",9,1,NA,NA,"USA","North America",39.01,-121.7,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,43,30,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","03/05/2011",NA,"30/09/2011",150,"150",NA,NA,NA,"Winter flooded","Continuous flooding","8.5_14",150,NA,NA,"Straw_Off_Season",4.58,"Surface_applied",NA,2440,NA,9160,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",10,1,NA,NA,"USA","North America",39.01,-121.7,"Temperate dry summer",23.4515261107692,239.026258215385,1.37,5.46,1.48596153846154,0.11,"Medium",28,43,30,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","03/05/2011",NA,"30/09/2011",150,"150",NA,NA,NA,"Winter flooded","Continuous flooding","8.5_14",200,NA,NA,"Straw_Off_Season",3.81,"Surface_applied",NA,2080,NA,7620,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",11,1,NA,NA,"USA","North America",34.45,-91.4,"Temperate without dry season",23.4515261107692,239.026258215385,0.68,6.19,1.48596153846154,0.07,"Medium",18,69,13,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","17/05/2011",NA,"22/09/2011",128,"128",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",0,NA,NA,"Straw_Off_Season",1.915,"Surface_applied",NA,253.33,NA,3830,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",12,1,NA,NA,"USA","North America",34.45,-91.4,"Temperate without dry season",23.4515261107692,239.026258215385,0.68,6.19,1.48596153846154,0.07,"Medium",18,69,13,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","17/05/2011",NA,"22/09/2011",128,"128",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",112,NA,NA,"Straw_Off_Season",4.01,"Surface_applied",NA,546.67,NA,8020,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",13,1,NA,NA,"USA","North America",34.45,-91.4,"Temperate without dry season",23.4515261107692,239.026258215385,0.68,6.19,1.48596153846154,0.07,"Medium",18,69,13,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","17/05/2011",NA,"22/09/2011",128,"128",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",168,NA,NA,"Straw_Off_Season",4.025,"Surface_applied",NA,613.33,NA,8050,NA,NA,NA
"nikolaisen","AdvientoBorbe_2014","AdvientoBorbe_2014",14,1,NA,NA,"USA","North America",34.45,-91.4,"Temperate without dry season",23.4515261107692,239.026258215385,0.68,6.19,1.48596153846154,0.07,"Medium",18,69,13,"Single","Rice_Fallow","Koshihikari","Direct dry seeded","17/05/2011",NA,"22/09/2011",128,"128",NA,NA,NA,"Long drainage","Continuous flooding","8.5_14",224,NA,NA,"Straw_Off_Season",3.88,"Surface_applied",NA,533.33,NA,7760,NA,NA,NA
"nikolaisen","Alberto_2015","Alberto_2015",1,1,NA,NA,"Philippines","Southeast Asia",14.14,121.27,"Tropical monsoon",26.9594879093103,429.477221623104,1.42,6.44,1.3225,0.13,"M_Fine",46.8043298969072,42.6991803278688,11.9696721311475,"Dry","Rice_Rice","NSICRC222","Transplant",NA,NA,NA,102,NA,102,NA,NA,"Short drainage","Continuous flooding","3_5",169.6,NA,NA,"Straw_On_Season",6.11275111070271,"Incorporated",NA,426.7,NA,5450,NA,NA,NA
"nikolaisen","Alberto_2015","Alberto_2015",3,1,NA,NA,"Philippines","Southeast Asia",14.14,121.27,"Tropical monsoon",26.9594879093103,429.477221623104,1.42,6.44,1.3225,0.13,"M_Fine",46.8043298969072,42.6991803278688,11.9696721311475,"Dry","Rice_Rice","NSICRC222","Transplant",NA,NA,NA,102,NA,102,NA,NA,"Short drainage","Continuous flooding","3_5",171.91,NA,NA,"Straw_On_Season",6.11275111070271,"Incorporated",NA,880,NA,5530,NA,NA,NA
"nikolaisen","Alberto_2015","Alberto_2015",5,1,NA,NA,"Philippines","Southeast Asia",14.14,121.27,"Tropical monsoon",26.9594879093103,429.477221623104,1.42,6.44,1.3225,0.13,"M_Fine",46.8043298969072,42.6991803278688,11.9696721311475,"Wet","Rice_Rice","NSICRC222","Transplant",NA,NA,NA,106,NA,106,NA,NA,"Short drainage","Continuous flooding","3_5",94.53,NA,NA,"Straw_On_Season",6.11275111070271,"Incorporated",NA,1040,NA,4650,NA,NA,NA
"nikolaisen","Alberto_2015","Alberto_2015",7,1,NA,NA,"Philippines","Southeast Asia",14.14,121.27,"Tropical monsoon",26.9594879093103,429.477221623104,1.42,6.44,1.3225,0.13,"M_Fine",46.8043298969072,42.6991803278688,11.9696721311475,"Wet","Rice_Rice","NSICRC222","Transplant",NA,NA,NA,106,NA,106,NA,NA,"Short drainage","Continuous flooding","3_5",106.53,NA,NA,"Straw_On_Season",6.11275111070271,"Incorporated",NA,1266.7,NA,4600,NA,NA,NA
"nikolaisen","Ali_2012","Ali_2012",1,1,NA,NA,"Bangladesh","South Asia",24.75,90.5,"Tropical monsoon",23.581367276875,532.8154606125,1.42,6.6,1.3040625,0.69984126984127,"Medium",20.6057142857143,55.434,30.92,"Dry","UN","BRRIdhan29","Transplant","December","January","May",130,"130",NA,NA,NA,"Unknown","Continuous flooding","5",110,NA,NA,"NONE",0,"NONE",NA,1240,NA,4290,NA,NA,NA
"nikolaisen","Ali_2012","Ali_2012",2,1,NA,NA,"Bangladesh","South Asia",24.75,90.5,"Tropical monsoon",23.581367276875,532.8154606125,1.5,6.8,1.3040625,0.69984126984127,"Medium",20.6057142857143,55.434,30.92,"Dry","UN","BRRIdhan29","Transplant","December","January","May",130,"130",NA,NA,NA,"Unknown","Continuous flooding","5",110,NA,NA,"NONE",0,"NONE",NA,1180,NA,4450,NA,NA,NA
"nikolaisen","Ali_2012","Ali_2012",3,1,NA,NA,"Bangladesh","South Asia",24.75,90.5,"Tropical monsoon",23.581367276875,532.8154606125,1.65,7.1,1.3040625,0.69984126984127,"Medium",20.6057142857143,55.434,30.92,"Dry","UN","BRRIdhan29","Transplant","December","January","May",130,"130",NA,NA,NA,"Unknown","Continuous flooding","5",110,NA,NA,"NONE",0,"NONE",NA,930,NA,5150,NA,NA,NA
"nikolaisen","Ali_2012","Ali_2012",4,1,NA,NA,"Bangladesh","South Asia",24.75,90.5,"Tropical monsoon",23.581367276875,532.8154606125,1.56,6.8,1.3040625,0.69984126984127,"Medium",20.6057142857143,55.434,30.92,"Dry","UN","BRRIdhan29","Transplant","December","January","May",130,"130",NA,NA,NA,"Unknown","Continuous flooding","5",110,NA,NA,"NONE",0,"NONE",NA,910,NA,5070,NA,NA,NA
"nikolaisen","Ali_2012","Ali_2012",5,1,NA,NA,"Bangladesh","South Asia",24.75,90.5,"Tropical monsoon",23.581367276875,532.8154606125,1.83,6.9,1.3040625,0.69984126984127,"Medium",20.6057142857143,55.434,30.92,"Dry","UN","BRRIdhan29","Transplant","December","January","May",130,"130",NA,NA,NA,"Unknown","Continuous flooding","5",110,NA,NA,"Biochar",1,"Incorporated",NA,1300,NA,4980,NA,NA,NA
"nikolaisen","Ali_2012","Ali_2012",6,1,NA,NA,"Bangladesh","South Asia",24.75,90.5,"Tropical monsoon",23.581367276875,532.8154606125,1.4,6.5,1.3040625,0.69984126984127,"Medium",20.6057142857143,55.434,30.92,"Dry","UN","BRRIdhan29","Transplant","December","January","May",130,"130",NA,NA,NA,"Unknown","Multiple drainage",NA,110,NA,NA,"NONE",0,"NONE",NA,900,NA,4350,NA,NA,NA
